sample_id,n_match_genomes_fmg,avg_f_match,avg_median_abund,n_unique_weighted
ERR1543785,3053,0.013272122090969748,1.413691451031772,22139
ERR1543794,3568,0.01451961979867031,1.4585201793721974,24078
ERR1543994,7729,0.008773541222422594,1.69588562556605,180722
ERR1544002,13013,0.014877617164172744,1.9073618689003304,334524
ERR1562574,9056,0.013633966663656238,1.384606890459364,176592
ERR1620360,4885,0.02852367600045256,2.963050153531218,338036
ERR1725402,4275,0.02027260951048947,1.7347368421052631,64645
ERR1726683,67347,0.0069738930496256,5.255972797600487,1311666
ERR1726689,50782,0.006967144005719209,2.058189909810563,226315
ERR1726712,107551,0.012272230689362519,1.8748593690435236,935125
ERR1726799,71281,0.008939188569386088,6.635835636424853,1103499
ERR1726902,61023,0.007570119009808896,1.5457122724218737,231784
ERR1726914,133058,0.01370066061696781,1.3320807467420224,1209089
ERR1726918,96576,0.009946909134330842,1.8660743870112657,629398
ERR1731826,4312,0.016288994484405298,1.9647495361781075,95873
ERR1731834,4371,0.016801822889882616,1.5260809883321895,51169
ERR1736742,2480,0.018923820935254933,1.3651209677419356,22723
ERR1736743,4034,0.019595698449714948,1.2455379276152703,39515
ERR1736747,4713,0.020776977448117892,1.5180352217271378,57288
ERR1855278,10412,0.0050035508801051535,1.7916826738378793,35606
ERR1868848,1010,0.005553120337225452,5.856435643564357,9543
ERR1869526,9185,0.005745637718555904,8.759880239520959,319306
ERR1869527,11061,0.007065370694617345,4.942862309013652,602960
ERR1869528,14855,0.006970692930277691,1.8223493773140356,623817
ERR1869529,6792,0.007660776819506996,6.492417550058893,278639
ERR1869530,7972,0.006336959794850301,4.381460110386352,356048
ERR1877474,2254,0.010475840680481916,2.5681011535048803,179557
ERR1877475,2353,0.010202513368487393,2.511899702507437,189037
ERR1877476,2253,0.010324095276336862,2.445406125166445,159832
ERR1877477,1557,0.014040721630828475,2.2597944765574822,101362
ERR1877478,1828,0.012577743966306948,2.4666301969365425,163480
ERR1877479,2107,0.011354645956104322,2.4639297579496917,180072
ERR1877480,2216,0.009598704124885896,1.6017599277978338,193151
ERR1877481,2214,0.009303587044377228,1.4749322493224932,190896
ERR1877482,2030,0.00945513521069524,1.5600985221674877,165680
ERR1999834,1682,0.02368608577118403,1.1388228299643282,15575
ERR2017147,15659,0.009623748011406872,1.5050450220320581,94696
ERR2020034,14319,0.01098870603029666,1.4539772330470004,166831
ERR2044295,3876,0.01436752784547396,1.5245098039215685,39527
ERR2044297,5286,0.014137163398210943,1.5668747635262958,59443
ERR2044644,3388,0.016809302974159897,1.3851829988193625,35918
ERR209194,3853,0.020165326601339663,1.5677394238255904,78243
ERR209195,1219,0.02424809758918795,1.8482362592288761,23812
ERR2094164,56599,0.009030303829108476,1.5405572536617256,638763
ERR2094165,73794,0.009026570342292116,1.5613125728379,379806
ERR2094166,46898,0.008608658116382709,2.3508571794106357,584727
ERR2094167,43967,0.008213357917485262,1.7997589100916596,604124
ERR2094168,56156,0.008938392692750798,1.8693015884322246,553451
ERR2094169,52844,0.008984217733923093,1.6662156536219817,601601
ERR2094170,58881,0.009113341578022871,1.5424245512134644,681584
ERR2094171,32180,0.007177346711769542,3.6770820385332503,491724
ERR2094172,24565,0.007856061834420325,4.186749440260534,613070
ERR2094173,25999,0.006754168682129036,4.27304896342167,641996
ERR2094174,26175,0.0068034974842014154,3.8593123209169056,653641
ERR2094175,41622,0.008540604841973375,2.9444404401518427,504772
ERR2094176,57358,0.01111624315391541,1.5570626590885317,604251
ERR209780,2033,0.020418219845420263,1.44146581406788,25641
ERR210047,967,0.02085401540361349,1.3619441571871769,12861
ERR2102261,40274,0.005455033595939375,3.0631300590951978,2652790
ERR2114805,26165,0.007929161586441892,1.5208484616854576,160445
ERR2126384,38659,0.0052935507528195785,2.571872009105254,2600688
ERR2135449,35655,0.005260316985678486,3.4840274856261395,2486228
ERR2135457,38691,0.005460951532902443,2.2809568116616266,2082757
ERR2135518,36936,0.005620042735848096,2.92158057179987,2473898
ERR2144879,5739,0.0045700587671852035,4.856508102456874,65746
ERR2144890,6226,0.00492076145905465,4.343800192740122,77005
ERR2168953,7383,0.007622531170236138,1.6164160910199106,34091
ERR2168978,6402,0.0069968465354708145,1.5880974695407686,24002
ERR2198710,4806,0.015637452009333096,3.4644194756554305,498144
ERR2200468,26846,0.012202918761641068,1.1950383669820457,122879
ERR2200478,24250,0.012395356398506632,1.2347835051546392,115621
ERR2215867,63700,0.006977761334557538,1.7264050235478807,304278
ERR2241625,29424,0.018524099496625857,1.5535787112561175,393077
